# OBF -> DEOB per-class MEMBER map for the deob subsystem packages
# (client.{util,net,data,world,scene,ui,audio,shell,nativeapi}; Mudclient EXCLUDED).
# The reconcile phase applies this dictionary: given a drift call site `receiver.X(args)`
# where the receiver's DEOB type is known and X is the obf short-name (or a stale deob name),
# look up the row keyed by (deob_class, obf_member, arg_count_or_desc) -> deob_member.
#
# COLUMNS:
#   deob_class          deob class that OWNS the member (receiver's deob type)
#   obf_member          obf member name as called at drift sites (single letter etc.);
#                       for stale-deob-name drifts the note carries "(stale: <oldname>)"
#   arg_count_or_desc   ''=field; for methods the JVM-ish param descriptor / arg list
#                       (disambiguates overloaded obf names like a/b/e). OBF arg count may
#                       differ from deob arg count where dummy/guard params were dropped.
#   deob_member         the correct deob member name as DECLARED in the owning class
#   kind                field | method | ctor
#   note                provenance / drift kind / behavioral-bug flag / FLAG=manual-resolve
#
# GROUND TRUTH: each deob file's // obf comments + decompiled/normalized-clean/*.java
# (obf names + descriptors) + javap of rsclassic-1091943135.jar + docs/NAMING.md.
# obf class map: see docs/NAMING.md. NOTE obf `n` is a MERGED class -> split into
# Scanline (instance span fields e/k/d/l) + FontWidths (static globals).
#
# UNIMPORTED CROSS-PACKAGE ALIASES (type-level, not member drift; fix the import/qualifier):
#   client.scene.LoaderThread   -> client.shell.LoaderThread   (ClientStream.java:13 wrong package)
#   client.shell.Mudclient / client.Mudclient  -> dangling refs to the EXCLUDED Mudclient class
#       (SurfaceSprite.java:5/45, Timer.java:3) — out of subsystem scope; resolve when Mudclient lands.
#   Scene/GameModel frustum globals: 6 statics live on obf classes m/da/oa/aa/nb (see frustum* rows);
#       Scene reads them by raw obf field, GameModel by deob name — must UNIFY (rows below give the names).
#
# BARE OBF-CLASS RECEIVERS (Scene render path + World/Panel/Utility static-alias sites): the call sites
# write `aa.b`/`wb.a`/`m.j`/etc. = an OBF CLASS used as a static receiver. Resolve owner via NAMING.md
# (aa=BZip, wb=MessageList, m=SocketFactory, da=ClientStream, oa=NameHash, nb=DataStore, gb=ProxySocketFactory,
#  jb=DownloadWorker, p=Timer, cb=CacheUpdater, ia=SpriteScaler, ua=Surface, t=EntityDef, ib=StreamBase,
#  e=GameShell, ba=SurfaceSprite, k=World, db=LinkedQueue, u=StringCodec) THEN rename the member via its row.
#
deob_class	obf_member	arg_count_or_desc	deob_member	kind	note
# ===== ClientRuntimeException  (obf la, pkg client.util) =====
ClientRuntimeException	a		intScratch	field	
ClientRuntimeException	b		LOCAL_CIPHER	field	
ClientRuntimeException	c		byteScratch	field	
ClientRuntimeException	d		intCounter	field	
ClientRuntimeException	e		cause	field	
ClientRuntimeException	f		stringScratch	field	
ClientRuntimeException	g		byteRowScratch	field	
ClientRuntimeException	h		context	field	
# ===== DecodeBuffer  (obf ac, pkg client.util) =====
DecodeBuffer	A		mtfRingBuffer	field	
DecodeBuffer	A	(stale: mtfa)	mtfRingBuffer	field	BZip2 state; SpriteDecoder call-site name "mtfa" -> obf ac.A -> declared mtfRingBuffer
DecodeBuffer	B		huffCodeLengths	field	
DecodeBuffer	B	(stale: len)	huffCodeLengths	field	BZip2 state; SpriteDecoder call-site name "len" -> obf ac.B -> declared huffCodeLengths
DecodeBuffer	C		normCallCount	field	
DecodeBuffer	D		huffMinLen	field	
DecodeBuffer	D	(stale: minLens)	huffMinLen	field	BZip2 state; SpriteDecoder call-site name "minLens" -> obf ac.D -> declared huffMinLen
DecodeBuffer	E		blockOriginatorPtr	field	
DecodeBuffer	E	(stale: origPtr)	blockOriginatorPtr	field	BZip2 state; SpriteDecoder call-site name "origPtr" -> obf ac.E -> declared blockOriginatorPtr
DecodeBuffer	F		rleRunCount	field	
DecodeBuffer	F	(stale: stateOutLen)	rleRunCount	field	BZip2 state; SpriteDecoder call-site name "stateOutLen" -> obf ac.F -> declared rleRunCount
DecodeBuffer	G		totalBytesOut	field	
DecodeBuffer	G	(stale: totalOutLo32)	totalBytesOut	field	BZip2 state; SpriteDecoder call-site name "totalOutLo32" -> obf ac.G -> declared totalBytesOut
DecodeBuffer	H		bwtChainNode	field	
DecodeBuffer	H	(stale: tpos)	bwtChainNode	field	BZip2 state; SpriteDecoder call-site name "tpos" -> obf ac.H -> declared bwtChainNode
DecodeBuffer	I		CHAT_MARKUP_CHARS	field	
DecodeBuffer	J		huffSymbols	field	
DecodeBuffer	J	(stale: perm)	huffSymbols	field	BZip2 state; SpriteDecoder call-site name "perm" -> obf ac.J -> declared huffSymbols
DecodeBuffer	K		symbolCount	field	
DecodeBuffer	K	(stale: nInUse)	symbolCount	field	BZip2 state; SpriteDecoder call-site name "nInUse" -> obf ac.K -> declared symbolCount
DecodeBuffer	L		bwtBytesEmitted	field	
DecodeBuffer	L	(stale: nblockUsed)	bwtBytesEmitted	field	BZip2 state; SpriteDecoder call-site name "nblockUsed" -> obf ac.L -> declared bwtBytesEmitted
DecodeBuffer	M		ERROR_MSG_PARTS	field	
DecodeBuffer	a		inputPos	field	
DecodeBuffer	b		blockSize	field	
DecodeBuffer	b	(stale: saveNblock)	blockSize	field	BZip2 state; SpriteDecoder call-site name "saveNblock" -> obf ac.b -> declared blockSize
DecodeBuffer	c		bytesConsumedMod	field	
DecodeBuffer	c	(stale: totalInLo32)	bytesConsumedMod	field	BZip2 state; SpriteDecoder call-site name "totalInLo32" -> obf ac.c -> declared bytesConsumedMod
DecodeBuffer	d		activeSymbols	field	
DecodeBuffer	d	(stale: setToUnseq)	activeSymbols	field	BZip2 state; SpriteDecoder call-site name "setToUnseq" -> obf ac.d -> declared activeSymbols
DecodeBuffer	e		bitAccumulator	field	
DecodeBuffer	e	(stale: bsBuff)	bitAccumulator	field	BZip2 state; SpriteDecoder call-site name "bsBuff" -> obf ac.e -> declared bitAccumulator
DecodeBuffer	f		blockCount	field	
DecodeBuffer	f	(stale: blocksize100k)	blockCount	field	BZip2 state; SpriteDecoder call-site name "blocksize100k" -> obf ac.f -> declared blockCount
DecodeBuffer	g		rleCurrentByte	field	
DecodeBuffer	g	(stale: stateOutCh)	rleCurrentByte	field	BZip2 state; SpriteDecoder call-site name "stateOutCh" -> obf ac.g -> declared rleCurrentByte
DecodeBuffer	h		bwtCurrentByte	field	
DecodeBuffer	h	(stale: k0)	bwtCurrentByte	field	BZip2 state; SpriteDecoder call-site name "k0" -> obf ac.h -> declared bwtCurrentByte
DecodeBuffer	i		outputBuffer	field	
DecodeBuffer	i	(stale: output)	outputBuffer	field	BZip2 state; SpriteDecoder call-site name "output" -> obf ac.i -> declared outputBuffer
DecodeBuffer	j		huffTreeSeq	field	
DecodeBuffer	j	(stale: selector)	huffTreeSeq	field	BZip2 state; SpriteDecoder call-site name "selector" -> obf ac.j -> declared huffTreeSeq
DecodeBuffer	k		insertCallCount	field	
DecodeBuffer	l		landscapeFaceFlags	field	
DecodeBuffer	m		symbolFrequency	field	
DecodeBuffer	m	(stale: unzftab)	symbolFrequency	field	BZip2 state; SpriteDecoder call-site name "unzftab" -> obf ac.m -> declared symbolFrequency
DecodeBuffer	n		symbolFlags	field	
DecodeBuffer	n	(stale: inUse)	symbolFlags	field	BZip2 state; SpriteDecoder call-site name "inUse" -> obf ac.n -> declared symbolFlags
DecodeBuffer	o		outputPos	field	
DecodeBuffer	o	(stale: availOut)	outputPos	field	BZip2 state; SpriteDecoder call-site name "availOut" -> obf ac.o -> declared outputPos
DecodeBuffer	p		bitsAvailable	field	
DecodeBuffer	p	(stale: bsLive)	bitsAvailable	field	BZip2 state; SpriteDecoder call-site name "bsLive" -> obf ac.p -> declared bitsAvailable
DecodeBuffer	q		compressedInput	field	
DecodeBuffer	q	(stale: input)	compressedInput	field	BZip2 state; SpriteDecoder call-site name "input" -> obf ac.q -> declared compressedInput
DecodeBuffer	r		mtfGroupStart	field	
DecodeBuffer	r	(stale: mtfbase)	mtfGroupStart	field	BZip2 state; SpriteDecoder call-site name "mtfbase" -> obf ac.r -> declared mtfGroupStart
DecodeBuffer	s		selectorLengths	field	
DecodeBuffer	s	(stale: selectorMtf)	selectorLengths	field	BZip2 state; SpriteDecoder call-site name "selectorMtf" -> obf ac.s -> declared selectorLengths
